Brand,Value
Nike,36.8
Louis Vuitton,32.3
Hermes,18.3
Gucci,18.2
Zalando,17.9
Adidas,16.2
Tiffany & Co.,15.2
Zara,13.5
H&M,11.5
Cartier,10.7
Lululemon,9.6
Moncler,9.2
Chanel,9.1
Rolex,9.1
Patek Philippe,9.1
